card_id,accord_1,accord_2,card_name,card_description
card_01,WOODY,MUSKY,THE HAVEN,따뜻한 안식처에 머무는 듯 나무의 온기와 부드러운 머스크가 편안하게 감싸는 유형이죠.
card_02,WOODY,FLORAL,THE GROVE,꽃과 나무가 어우러진 숲처럼 조화롭고 우아한 분위기를 지닌 유형이죠.
card_03,WOODY,FRESH,THE DAWN,젖은 나무와 시원한 공기가 스며든 새벽처럼 상쾌한 인상을 주는 유형이죠.
card_04,WOODY,SPICY,THE EMBER,은은하게 타오르는 불씨처럼 깊고 따뜻한 여운을 남기는 유형이죠.
card_05,FLORAL,MUSKY,THE VELVET,벨벳 위에 놓인 꽃처럼 은은하고 포근한 매력을 지닌 유형이죠.
card_06,FLORAL,SPICY,THE THORN,아름다운 꽃에 숨겨진 가시처럼 섬세함과 강렬함이 공존하는 유형이죠.
card_07,FLORAL,FRESH,THE PETAL,바람에 흩날리는 꽃잎처럼 맑고 산뜻한 인상을 남기는 유형이죠.
card_08,MUSKY,SPICY,THE AFTERGLOW,은은하게 남는 노을빛처럼 부드럽고 관능적인 여운을 지닌 유형이죠.
card_09,MUSKY,FRESH,THE LINEN,햇살 아래 말린 빨랫감처럼 맑고 포근한 잔향이 편안함을 주는 유형이죠.
card_10,SPICY,FRESH,THE METAL,차갑게 빛나는 금속처럼 선명하고 도회적인 인상을 남기는 유형이죠.
card_11,SWEET,WOODY,THE HONEY,꿀처럼 달콤한 향과 나무의 온기가 조화롭게 어우러지는 유형이죠.
card_12,SWEET,FLORAL,THE BLOSSOM,꽃의 화사함과 달콤함이 더해져 사랑스럽고 부드러운 인상을 주는 유형이죠.
card_13,SWEET,FRESH,THE BREEZE,꽃밭을 스치는 산들바람처럼 산뜻함과 은은한 달콤함이 감도는 유형이죠.
card_14,SWEET,MUSKY,THE WARMTH,따뜻한 기운이 감돌며 은은하고 부드러운 여운을 남기는 유형이죠.
card_15,SWEET,SPICY,THE ELIXIR,신비로운 묘약처럼 매력적이고 유혹적인 분위기를 주는 유형이죠.